Statistical profiling result from isolate-0x7f110c000de0-74461-v8.log, (8291 ticks, 6 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1  100.0%            LazyCompile: ~Writable.write _stream_writable.js:258:36
     40    2.4%      LazyCompile: ~<anonymous> /home/yehor/Gitlab/distributed-communication-system/api/getUser.js:1:12
     22   55.0%        /home/yehor/.nvm/versions/node/v14.15.1/bin/node
     22  100.0%          /home/yehor/.nvm/versions/node/v14.15.1/bin/node
     21   95.5%            LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
      1    4.5%            LazyCompile: ~processTicksAndRejections internal/process/task_queues.js:65:35
     10   25.0%        LazyCompile: ~api /home/yehor/Gitlab/distributed-communication-system/lib/server.js:58:13
     10  100.0%          /home/yehor/.nvm/versions/node/v14.15.1/bin/node
     10  100.0%            /home/yehor/.nvm/versions/node/v14.15.1/bin/node
      8   20.0%        LazyCompile: *api /home/yehor/Gitlab/distributed-communication-system/lib/server.js:58:13
      8  100.0%          /home/yehor/.nvm/versions/node/v14.15.1/bin/node
      8  100.0%            /home/yehor/.nvm/versions/node/v14.15.1/bin/node
     34    2.0%      /home/yehor/.nvm/versions/node/v14.15.1/bin/node
      7   20.6%        LazyCompile: ~parseInteger /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-types/lib/textParsers.js:109:28
      3   42.9%          LazyCompile: *parseRow /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/result.js:62:11
      3  100.0%            LazyCompile: ~handleDataRow /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:79:16
      3   42.9%          LazyCompile: *handleDataRow /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:79:16
      3  100.0%            LazyCompile: ~_handleDataRow /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/client.js:343:17
      1   14.3%          LazyCompile: ~parseRow /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/result.js:62:11
      1  100.0%            LazyCompile: ~handleDataRow /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:79:16
      7   20.6%        /home/yehor/.nvm/versions/node/v14.15.1/bin/node
      7  100.0%          LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
      6   17.6%        LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
      4   11.8%        LazyCompile: ~_writev internal/worker/io.js:230:10
      4  100.0%          LazyCompile: ~doWrite _stream_writable.js:367:17
      4  100.0%            LazyCompile: ~clearBuffer _stream_writable.js:493:21
      2    5.9%        LazyCompile: ~<anonymous> internal/per_context/primordials.js:23:10
      1   50.0%          LazyCompile: ~resolveExports internal/modules/cjs/loader.js:422:24
      1  100.0%            LazyCompile: ~Module._findPath internal/modules/cjs/loader.js:444:28
      1   50.0%          LazyCompile: ~Module._findPath internal/modules/cjs/loader.js:444:28
      1  100.0%            LazyCompile: ~Module._resolveFilename internal/modules/cjs/loader.js:796:35
      1    2.9%        LazyCompile: ~parseRequest /home/yehor/Gitlab/distributed-communication-system/lib/server.js:24:22
      1  100.0%          LazyCompile: ~api /home/yehor/Gitlab/distributed-communication-system/lib/server.js:58:13
      1  100.0%            /home/yehor/.nvm/versions/node/v14.15.1/bin/node
      1    2.9%        LazyCompile: ~getConstructorName internal/util/inspect.js:537:28
      1  100.0%          LazyCompile: ~formatRaw internal/util/inspect.js:806:19
      1  100.0%            LazyCompile: ~formatValue internal/util/inspect.js:737:21
      1    2.9%        LazyCompile: ~api /home/yehor/Gitlab/distributed-communication-system/lib/server.js:58:13
      1  100.0%          LazyCompile: ~<anonymous> /home/yehor/Gitlab/distributed-communication-system/lib/server.js:107:27
      1  100.0%            LazyCompile: *emit events.js:263:44
      1    2.9%        LazyCompile: ~Module.load internal/modules/cjs/loader.js:916:33
      1  100.0%          LazyCompile: ~Module._load internal/modules/cjs/loader.js:704:24
      1  100.0%            LazyCompile: ~Module.require internal/modules/cjs/loader.js:944:36
      1    2.9%        LazyCompile: ~<anonymous> /home/yehor/Gitlab/distributed-communication-system/lib/server.js:28:16
      1  100.0%          LazyCompile: *emit events.js:263:44
      1  100.0%            LazyCompile: ~endReadableNT _stream_readable.js:1320:23
