Statistical profiling result from isolate-0x7fc8a8000de0-14038-v8.log, (29756 ticks, 7 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      6    0.0%    0.0%  accept4
      6    0.0%    0.0%  _int_free
      6    0.0%    0.0%  __GI___pthread_getspecific
      5    0.0%    0.0%  fwrite
      4    0.0%    0.0%  operator new(unsigned long)
      4    0.0%    0.0%  __GI___pthread_mutex_lock
      3    0.0%    0.0%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
      3    0.0%    0.0%  operator delete(void*)
      3    0.0%    0.0%  __pthread_cond_timedwait
      3    0.0%    0.0%  __GI___madvise
      2    0.0%    0.0%  sysmalloc
      2    0.0%    0.0%  do_futex_wait.constprop.0
      2    0.0%    0.0%  __lll_lock_wait_private
      1    0.0%    0.0%  unlink_chunk.isra.0
      1    0.0%    0.0%  std::locale::locale()
      1    0.0%    0.0%  std::ios_base::~ios_base()
      1    0.0%    0.0%  __pthread_enable_asynccancel

 [Summary]:
   ticks  total  nonlib   name
    276    0.9%    1.0%  JavaScript
  26377   88.6%   98.9%  C++
    171    0.6%    0.6%  GC
   3096   10.4%          Shared libraries
      7    0.0%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
    569   77.3%    1.9%  __libc_write
     83   11.3%    0.3%  __GI___writev
     12    1.6%    0.0%  __GI___libc_write
     11    1.5%    0.0%  __GI___mprotect
      9    1.2%    0.0%  cfree@GLIBC_2.2.5
      9    1.2%    0.0%  __pthread_mutex_unlock_usercnt
      8    1.1%    0.0%  _int_malloc
      5    0.7%    0.0%  __GI___libc_malloc
      4    0.5%    0.0%  operator new(unsigned long)
      4    0.5%    0.0%  fwrite
      3    0.4%    0.0%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
      3    0.4%    0.0%  __pthread_cond_signal
      3    0.4%    0.0%  __GI___pthread_mutex_lock
      3    0.4%    0.0%  __GI___madvise
      2    0.3%    0.0%  operator delete(void*)
      2    0.3%    0.0%  _int_free
      2    0.3%    0.0%  __GI___pthread_getspecific
      1    0.1%    0.0%  sysmalloc
      1    0.1%    0.0%  std::locale::locale()
      1    0.1%    0.0%  std::ios_base::~ios_base()
      1    0.1%    0.0%  __lll_lock_wait

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
  25453   85.5%  epoll_wait

   3075   10.3%  /home/yehor/.nvm/versions/node/v14.15.1/bin/node
   1428   46.4%    /home/yehor/.nvm/versions/node/v14.15.1/bin/node
    478   33.5%      LazyCompile: *api /home/yehor/Gitlab/distributed-communication-system/lib/server.js:58:13
    475   99.4%        /home/yehor/.nvm/versions/node/v14.15.1/bin/node
    473   99.6%          /home/yehor/.nvm/versions/node/v14.15.1/bin/node
    473  100.0%            LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
    169   11.8%      LazyCompile: ~runInContext vm.js:135:15
    169  100.0%        LazyCompile: ~runScript /home/yehor/Gitlab/distributed-communication-system/lib/app.js:64:12
    169  100.0%          LazyCompile: ~api /home/yehor/Gitlab/distributed-communication-system/lib/server.js:58:13
    169  100.0%            /home/yehor/.nvm/versions/node/v14.15.1/bin/node
     57    4.0%      LazyCompile: ~handleWriteReq internal/stream_base_commons.js:47:24
     57  100.0%        LazyCompile: ~writeGeneric internal/stream_base_commons.js:143:22
     57  100.0%          LazyCompile: ~Socket._writeGeneric net.js:759:42
     57  100.0%            LazyCompile: ~Socket._write net.js:796:35
     54    3.8%      LazyCompile: ~<anonymous> /home/yehor/Gitlab/distributed-communication-system/api/getUser.js:1:12
     38   70.4%        /home/yehor/.nvm/versions/node/v14.15.1/bin/node
     38  100.0%          /home/yehor/.nvm/versions/node/v14.15.1/bin/node
     35   92.1%            LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
      3    7.9%            LazyCompile: ~processTicksAndRejections internal/process/task_queues.js:65:35
     13   24.1%        LazyCompile: *api /home/yehor/Gitlab/distributed-communication-system/lib/server.js:58:13
     13  100.0%          /home/yehor/.nvm/versions/node/v14.15.1/bin/node
     13  100.0%            /home/yehor/.nvm/versions/node/v14.15.1/bin/node
      3    5.6%        LazyCompile: ~api /home/yehor/Gitlab/distributed-communication-system/lib/server.js:58:13
      3  100.0%          /home/yehor/.nvm/versions/node/v14.15.1/bin/node
      3  100.0%            /home/yehor/.nvm/versions/node/v14.15.1/bin/node
     50    3.5%      LazyCompile: ~writevGeneric internal/stream_base_commons.js:118:23
     50  100.0%        LazyCompile: ~Socket._writeGeneric net.js:759:42
     50  100.0%          LazyCompile: ~Socket._writev net.js:791:36
     50  100.0%            LazyCompile: ~doWrite _stream_writable.js:367:17
     36    2.5%      /home/yehor/.nvm/versions/node/v14.15.1/bin/node
      8   22.2%        LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
      5   13.9%        LazyCompile: ~parseInteger /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-types/lib/textParsers.js:109:28
      3   60.0%          LazyCompile: *parseRow /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/result.js:62:11
      3  100.0%            LazyCompile: ~handleDataRow /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:79:16
      2   40.0%          LazyCompile: ~parseRow /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/result.js:62:11
      2  100.0%            LazyCompile: ~handleDataRow /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:79:16
      4   11.1%        LazyCompile: ~prepareStackTrace internal/errors.js:58:27
      4  100.0%          /home/yehor/.nvm/versions/node/v14.15.1/bin/node
      4  100.0%            LazyCompile: ~formatError internal/util/inspect.js:1176:21
      2    5.6%        LazyCompile: ~processTicksAndRejections internal/process/task_queues.js:65:35
      2    5.6%        LazyCompile: *formatRaw internal/util/inspect.js:806:19
      1   50.0%          LazyCompile: ~formatValue internal/util/inspect.js:737:21
      1  100.0%            LazyCompile: *inspect internal/util/inspect.js:283:17
      1   50.0%          LazyCompile: *formatValue internal/util/inspect.js:737:21
      1  100.0%            LazyCompile: *inspect internal/util/inspect.js:283:17
      1    2.8%        Script: ~<static_fields_initializer> internal/bootstrap/loaders.js:166:3
      1  100.0%          Script: ~<anonymous> internal/bootstrap/loaders.js:1:1
      1    2.8%        Script: ~<anonymous> internal/util/inspect.js:1:1
      1  100.0%          LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1  100.0%            LazyCompile: ~nativeModuleRequire internal/bootstrap/loaders.js:298:29
      1    2.8%        LazyCompile: ~prepare /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:186:10
      1  100.0%          LazyCompile: ~submit /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:143:9
      1  100.0%            LazyCompile: ~_pulseQueryQueue /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/client.js:474:19
      1    2.8%        LazyCompile: ~parserOnIncoming _http_server.js:809:26
      1  100.0%          LazyCompile: ~parserOnHeadersComplete _http_common.js:75:33
      1    2.8%        LazyCompile: ~onParserExecuteCommon _http_server.js:658:31
      1  100.0%          LazyCompile: ~onParserExecute _http_server.js:601:25
      1    2.8%        LazyCompile: ~isIPv4 internal/net.js:30:16
      1  100.0%          LazyCompile: ~isIP internal/net.js:38:14
      1  100.0%            LazyCompile: ~lookupAndConnect net.js:982:26
